sr,Name,Scientific Name,Description,Poisonous,Medicinal Uses,Found,Soil,Temperature,edible,,
1,Tulsi,Ocimum tenuiflorum, Tulsi is a sacred plant in Hindu belief. Hindus regard it as an earthly manifestation of the goddess Tulsi; she is regarded as a great worshipper of the god Vishnu. The offering of its leaves is mandatory in ritualistic worship of Vishnu and his forms like Krishna and Vithoba.,NO,"Chemicals in holy basil are thought to decrease pain and swelling (inflammation). Other chemicals might lower blood sugar in people with diabetes.

There is interest in using holy basil seed oil for cancer. Early research suggests that the oil can slow progression and improve survival rate in animals with certain types of cancer. Researchers think this benefit may be explained by the oil’s ability to act as an antioxidant.",Almost in Every part of country ,Most balanced potting mixes are appropriate for growing indoors.,above 50 degrees for optimal growth,YES,,
2,Hibiscus,Hibiscus rosa-sinensis,"The leaves are alternate, ovate to lanceolate, often with a toothed or lobed margin. The flowers are large, conspicuous, trumpet-shaped, with five or more petals, colour from white to pink, red, orange, peach, yellow or purple, and from 4–18 cm broad. Flower colour in certain species, such as H. mutabilis and H. tiliaceus, changes with age. The fruit is a dry five-lobed capsule, containing several seeds in each lobe.",NO,It has been claimed that sour teas derived from Hibiscus sabdariffa may lower blood pressure. ,,,"should be grown in a warm, sunny location where daytime temperatures are no lower than 55°F; 65° to 75°F is best for optimum growth",YES,,
3,Areca palm,Areca catechu,"Areca Palm grows 6–12 m (20–39 ft) in height. Multiple stems emerge from the base. The leaves are arched, 2–3 m (6 ft 7 in–9 ft 10 in) long, and pinnate, with 40-60 pairs of leaflets. It bears panicles of yellow flowers in summer. Offsets can be cut off when mature enough, as a propagation method.

It is grown as an ornamental plant in gardens in tropical and subtropical regions, and elsewhere indoors as a houseplant. It has gained the Royal Horticultural Society's Award of Garden Merit",NO,"Arecanut Palm leaves and nuts are known to have a host of medicinal benefits. In Ayurveda, the nut has been used as an aphrodisiac. In addition, Arecanut Palm leaves stimulate the central nervous system, relieve pain, stomach ailments, gynecological disorders and a sore throat. "," native to Madagascar and South India and naturalized in the Andaman Islands, Réunion, El Salvador, Cuba, Puerto Rico, the Canary Islands, southern Florida, Haiti, the Dominican Republic, Jamaica, the Leeward Islands and the Venezuelan Antilles",Rich and moist,does best in average room temperatures of 65 to 75 F,NO,,
4,Money plant,Epipremnum aureum,"E. aureum is an evergreen vine growing to 20 m (66 ft) tall, with stems up to 4 cm (2 in) in diameter, climbing by means of aerial roots which adhere to surfaces. The leaves are alternate, heart-shaped, entire on juvenile plants, but irregularly pinnatifid on mature plants, up to 100 cm (39 in) long and 45 cm (18 in) broad; juvenile leaves are much smaller, typically under 20 cm (8 in) long. The flowers are produced in a spathe up to 23 cm (9 in) long. This plant produces trailing stems when it climbs up trees and these take root when they reach the ground and grow along it. The leaves on these trailing stems grow up to 10 cm (4 in) long and are the ones normally seen on this plant when it is cultivated as a potted plant. ",NO,"In folk medicine the leaves and juice Jadecooked gruel of them are used for outdoor and indoor use. For example, the healing properties of Jade is used for boils, cuts, wounds, and deep scratches. From this tree leaves make gruel and apply it to the damaged area.","It is a popular houseplant in temperate regions, but has also become naturalised in[citation needed] tropical and sub-tropical forests worldwide, including northern Australia, Southeast Asia, South Asia, the Pacific Islands and the West Indies","money plants will grow best in fertile, loamy soil", It lives well with a temperature between 17 and 30°C,YES,,
5,Tabernamontana,Tabernaemontana divaricata,"These plants are evergreen shrubs and small trees growing to 1–15 m tall. The leaves are opposite, 3–25 cm long, with milky sap; hence it is one of the diverse plant genera commonly called ""milkwood"". The flowers are fragrant, white, 1–5 cm in diameter.

Tabernaemontana",NO,"The roots are astringent. A decoction is used in the treatment of diarrhoea and various abdominal complaints. An infusion is applied as a remedy for jungle fever. The roots are used in modern medicine to treat hypertension, headache, and scabies. The pounded roots are applied to sore eyes. The root is employed as a local anodyne and chewed for the relief of toothache.The pounded leaves are an ingredient of a cough medicine taken as an infusion. An infusion of the leaves is used to treat grippe (influenza)","It has a pan-tropical distribution, found in Asia, Africa, Australia, North America, South America, and a wide assortment of oceanic islands.","light (sandy), medium (loamy) and heavy (clay) soils and prefers well-drained soil",preferably over the 14 °C,NO,,
6,Jasmine,Jasminum,"Jasmine can be either deciduous (leaves falling in autumn) or evergreen (green all year round), and can be erect, spreading, or climbing shrubs and vines. Their leaves are borne in opposing or alternating arrangement and can be of simple, trifoliate, or pinnate formation. The flowers are typically around 2.5 cm (0.98 in) in diameter. They are white or yellow in color, although in rare instances they can be slightly reddish",NO,"Jasmine has been used for liverdisease (hepatitis), liver pain due to cirrhosis, and abdominal pain due to severe diarrhea (dysentery). It is also used to cause relaxation (as a sedative), to heighten sexual desire (as an aphrodisiac), and in cancertreatment.","contains around 200 species native to tropical and warm temperate regions of Eurasia, Australasia and Oceania","Jasmine can be grown on a wide range of soils. Well-drained, rich loamy soil with a pH ranging from 6.5-7.5 is ideal for their cultivation.",between 40 and 50°F,YES,,
7,Bougainvillea,Bougainvillea glabra,"The vine species grow anywhere from 1 to 12 m (3 to 40 ft.) tall, scrambling over other plants with their spiky thorns. The thorns are tipped with a black, waxy substance. They are evergreen where rainfall occurs all year, or deciduous if there is a dry season. The leavesare alternate, simple ovate-acuminate, 4–13 cm long and 2–6 cm broad",NO,"the flowers have been brewed in teas as a means of alleviating mild respiratory disorders. In fact, the leaves of certain types of the bougainvillea shrub have been known to help with diabetes, pressure and even with HDL-LDLbalancing ",It is native to South America from Brazil west to Peru and south to southern Argentina. ,"regular potting soil without a high level of peat moss

Read more at Gardening Know How: Potted Bougainvillea Plants: Tips For Growing Bougainvillea In Containers https://www.gardeningknowhow.com/ornamental/vines/bougainvillea/bougainvillea-in-containers.htm","above 30 degrees F. (-1 C.). 

Read more at Gardening Know How: Potted Bougainvillea Plants: Tips For Growing Bougainvillea In Containers https://www.gardeningknowhow.com/ornamental/vines/bougainvillea/bougainvillea-in-containers.htm","YES

Read more at Gardening Know How: Potted Bougainvillea Plants: Tips For Growing Bougainvillea In Containers https://www.gardeningknowhow.com/ornamental/vines/bougainvillea/bougainvillea-in-containers.htm",,
8,Nerium Oleander,Nerium oleander,"Oleander grows to 2–6 m (6.6–19.7 ft) tall, with erect stems that splay outward as they mature; first-year stems have a glaucous bloom, while mature stems have a grayish bark. The leaves are in pairs or whorls of three, thick and leathery, dark-green, narrow lanceolate, 5–21 cm (2.0–8.3 in) long and 1–3.5 cm (0.39–1.38 in) broad, and with an entire margin filled with minute reticulate venation web typical of eudicots. Leaves are light green and very glossy when young, before maturing to a dull dark green/greenish gray",YES,"The leaves and the flowers are cardiotonic, diaphoretic, diuretic, emetic, expectorant and sternutatory. A decoction of the leaves has been applied externally in the treatment of scabies and parasitic skin worms, and to reduce swellings","It is so widely cultivated that no precise region of origin has been identified, though southwest Asia has been suggested","Suitable for: medium (loamy) and heavy (clay) soils, prefers well-drained soil and can grow in heavy clay soil","Atleast  15 to 20 degrees F.
",NO,,
9,Aglaonema,Aglaonema,"These are evergreen perennial herbs with stems growing erect or decumbent and creeping. Stems that grow along the ground may root at the nodes. There is generally a crown of wide leaf blades which in wild species are often variegated with silver and green coloration. The inflorescence bears unisexual flowers in a spadix, with a short zone of female flowers near the base and a wider zone of male flowers nearer the tip. The fruit is a fleshy berry that ripens red. The fruit is a thin layer covering one large seed",NO,"Several uses of Aglaonema in traditional medicine have been recorded in South-East Asia. In Malaysia, the roots are used as a tonic for children and as anthelmintic, and a decoction of the roots is drunk to treat fever and dropsy. In the Moluccas, heated leaves are used to reduce swellings, but this sometimes results in sores. A. tenuipes Engl. (synonym: A. siamense Engl.) is used in Laos, Cambodia and Vietnam externally as a poultice for carbuncles, and a decoction of the stem is used as a laxative. ",They are native to tropical and subtropical regions of Asia and New Guinea,"In cultivation, they require a porous soil, preferably composed of equal parts of loam, sand, peat and organic matter",between 65 and 75 degrees Fahrenheit,YES,,
10,Mango,Mangifera indica,"Mango trees grow to 35–40 m (115–131 ft) tall, with a crown radius of 10 m (33 ft). The trees are long-lived, as some specimens still fruit after 300 years.[11] In deep soil, the taproot descends to a depth of 6 m (20 ft), with profuse, wide-spreading feeder roots and anchor roots penetrating deeply into the soil.[1] The leaves are evergreen, alternate, simple, 15–35 cm (5.9–13.8 in) long, and 6–16 cm (2.4–6.3 in) broad; when the leaves are young they are orange-pink, rapidly changing to a dark, glossy red, then dark green as they mature",NO,"The tender leaves of the mango tree contain tannins called anthocyanidins, which help in treating early diabetes. The leaves are dried and powdered, or used as an infusion to treat the same. It also helps to treat diabetic angiopathy and diabetic retinopathy. Mango tea leaves are very good for this purpose",Mangoes are native to South Asia,"Mango trees like moderately fertile soil but have a low tolerance for salty soil. Do not use chemical fertilizers, which contain a high amount of salt, to improve poor soil"," mango trees are more tolerant of the cold. They will usually survive temperatures down to 25 degrees Fahrenheit, but only for a few hours",YES,,
